ts_code,symbol,name,area,industry,fullname,enname,market,exchange_id,curr_type,list_status,list_date,delist_date,is_hs
000526.SZ,000526,紫光学大,福建,文教休闲,厦门紫光学大股份有限公司,Xiamen Unigroup Xue Co.,Ltd.,主板,SZSE,CNY,L,1993-11-01,,N
000527.SZ,000527,美的电器(退市),None,None,广东美的电器股份有限公司,Gd Midea Holding Co.,Ltd.,主板,SZSE,CNY,D,1993-11-12,2013-09-18,N
000528.SZ,000528,柳工,广西,工程机械,广西柳工机械股份有限公司,Guangxi Liugong Machinery Co.,Ltd.,主板,SZSE,CNY,L,1993-11-18,,S
000529.SZ,000529,广弘控股,广东,食品,广东广弘控股股份有限公司,Guangdong Guanghong Holdings Co.,Ltd.,主板,SZSE,CNY,L,1993-11-18,,N
000530.SZ,000530,大冷股份,辽宁,机械基件,大连冷冻机股份有限公司,Dalian Refrigeration Co., Ltd.,主板,SZSE,CNY,L,1993-12-08,,N
000531.SZ,000531,穗恒运A,广东,火力发电,广州恒运企业集团股份有限公司,Guangzhou Hengyun Enterprises Holding Ltd.,主板,SZSE,CNY,L,1994-01-06,,N
000532.SZ,000532,华金资本,广东,元器件,珠海华金资本股份有限公司,Zhuhai Huajin Capital Co., Ltd.,主板,SZSE,CNY,L,1994-01-03,,N
000533.SZ,000533,万家乐,广东,家用电器,广东万家乐股份有限公司,Guangdong Macro Co.,Ltd.,主板,SZSE,CNY,L,1994-01-03,,S
000534.SZ,000534,万泽股份,广东,区域地产,万泽实业股份有限公司,Wedge Industrial Co.,Ltd.,主板,SZSE,CNY,L,1994-01-10,,N
000535.SZ,000535,*ST猴王(退市),None,None,猴王股份有限公司,Kmk Co.,Ltd,主板,SZSE,CNY,D,1993-11-30,2005-09-21,N
000536.SZ,000536,华映科技,福建,元器件,华映科技(集团)股份有限公司,CPT Technology (Group) Co., Ltd,主板,SZSE,CNY,L,1993-11-26,,S
000537.SZ,000537,广宇发展,天津,区域地产,天津广宇发展股份有限公司,Tianjin Guangyu Development Co., Ltd.,主板,SZSE,CNY,L,1993-12-10,,S
000538.SZ,000538,云南白药,云南,中成药,云南白药集团股份有限公司,Yunnan Baiyao Group Co., Ltd.,主板,SZSE,CNY,L,1993-12-15,,S
000539.SZ,000539,粤电力A,广东,火力发电,广东电力发展股份有限公司,Guangdong Electric Power Development Co.,Ltd.,主板,SZSE,CNY,L,1993-11-26,,S
000540.SZ,000540,中天金融,贵州,多元金融,中天金融集团股份有限公司,Zhongtian Financial Group Company Limited,主板,SZSE,CNY,L,1994-02-02,,S
000541.SZ,000541,佛山照明,广东,家用电器,佛山电器照明股份有限公司,Foshan Electrical and Lighting Co.,Ltd.,主板,SZSE,CNY,L,1993-11-23,,S
000542.SZ,000542,TCL通讯(退市),None,None,TCL通讯设备股份有限公司,TCL Communication Equipment Co.,Ltd.,主板,SZSE,CNY,D,1993-12-01,2004-01-13,N
000543.SZ,000543,皖能电力,安徽,火力发电,安徽省皖能股份有限公司,An Hui Wenergy Company Limited,主板,SZSE,CNY,L,1993-12-20,,S
000544.SZ,000544,中原环保,河南,环境保护,中原环保股份有限公司,Central Plains Environment Protection Co.,Ltd,主板,SZSE,CNY,L,1993-12-08,,N
000545.SZ,000545,金浦钛业,吉林,化工原料,金浦钛业股份有限公司,Gpro Titanium Industry Co.,Ltd,主板,SZSE,CNY,L,1993-12-15,,N
000546.SZ,000546,金圆股份,吉林,水泥,金圆环保股份有限公司,Jinyuan Ep Co.,Ltd,主板,SZSE,CNY,L,1993-12-15,,S
